"Step","Name: ppo_me_neg30p10 - Training/objective_proportion","Name: ppo_me_neg30p10 - Training/objective_proportion__MIN","Name: ppo_me_neg30p10 - Training/objective_proportion__MAX","Name: ppo_me_neg30p100 - Training/objective_proportion","Name: ppo_me_neg30p100 - Training/objective_proportion__MIN","Name: ppo_me_neg30p100 - Training/objective_proportion__MAX","Name: ppo_me30 - Training/objective_proportion","Name: ppo_me30 - Training/objective_proportion__MIN","Name: ppo_me30 - Training/objective_proportion__MAX"
"117","0.04237288135593222","0.03389830508474577","0.05084745762711866","0.07062146892655367","0.05932203389830507","0.07627118644067797","0.03389830508474576","0.02542372881355932","0.042372881355932195"
"118","0.042016806722689086","0.033613445378151266","0.050420168067226906","0.07002801120448178","0.05882352941176469","0.07563025210084034","0.03361344537815126","0.025210084033613443","0.042016806722689065"
"119","0.04166666666666668","0.03333333333333334","0.05000000000000002","0.06944444444444443","0.05833333333333332","0.07500000000000001","0.03333333333333333","0.024999999999999998","0.04166666666666666"
"120","0.041322314049586785","0.03305785123966943","0.04958677685950415","0.06887052341597795","0.057851239669421475","0.07438016528925621","0.03581267217630854","0.03305785123966942","0.04132231404958677"
"121","0.04098360655737706","0.03278688524590165","0.04918032786885247","0.07103825136612023","0.057377049180327856","0.08196721311475409","0.035519125683060114","0.03278688524590164","0.040983606557377046"
"122","0.04065040650406505","0.03252032520325204","0.048780487804878064","0.07588075880758809","0.06504065040650406","0.0813008130081301","0.03523035230352304","0.032520325203252036","0.04065040650406504"
"123","0.04301075268817205","0.032258064516129045","0.05645161290322582","0.07526881720430108","0.06451612903225806","0.08064516129032259","0.03494623655913979","0.03225806451612904","0.04032258064516129"
"124","0.04266666666666668","0.032000000000000015","0.056000000000000015","0.07466666666666667","0.064","0.08000000000000002","0.03466666666666667","0.03200000000000001","0.04"
"125","0.042328042328042347","0.03174603174603176","0.05555555555555557","0.07407407407407407","0.06349206349206349","0.07936507936507937","0.0343915343915344","0.03174603174603175","0.03968253968253968"
"126","0.041994750656167985","0.031496062992126","0.05511811023622049","0.07349081364829398","0.06299212598425197","0.07874015748031497","0.03412073490813649","0.03149606299212599","0.03937007874015748"
"127","0.04427083333333335","0.03906250000000001","0.05468750000000002","0.07552083333333333","0.0703125","0.07812500000000001","0.03385416666666667","0.03125000000000001","0.0390625"
"128","0.04392764857881138","0.03875968992248063","0.05426356589147289","0.07493540051679587","0.06976744186046512","0.07751937984496125","0.03359173126614988","0.031007751937984503","0.03875968992248062"
"129","0.0435897435897436","0.03846153846153847","0.05384615384615386","0.07435897435897437","0.06923076923076923","0.07692307692307694","0.03333333333333334","0.030769230769230774","0.038461538461538464"
"130","0.04325699745547076","0.03816793893129772","0.053435114503816813","0.07379134860050891","0.06870229007633588","0.07633587786259544","0.033078880407124686","0.030534351145038174","0.03816793893129771"
"131","0.04292929292929295","0.03787878787878789","0.05303030303030305","0.07323232323232325","0.06818181818181819","0.07575757575757577","0.03282828282828284","0.030303030303030307","0.03787878787878788"
"132","0.042606516290726835","0.03759398496240602","0.052631578947368446","0.07518796992481204","0.06766917293233084","0.08270676691729323","0.03258145363408522","0.030075187969924817","0.03759398496240601"
"133","0.04228855721393036","0.0373134328358209","0.05223880597014928","0.0746268656716418","0.06716417910447763","0.08208955223880597","0.03482587064676617","0.02985074626865673","0.0373134328358209"
"134","0.04197530864197532","0.03703703703703704","0.05185185185185188","0.07407407407407408","0.06666666666666668","0.08148148148148149","0.03950617283950618","0.03703703703703704","0.04444444444444444"
"135","0.041666666666666685","0.03676470588235295","0.05147058823529414","0.07598039215686275","0.0735294117647059","0.08088235294117647","0.03921568627450981","0.03676470588235295","0.044117647058823525"
"136","0.041362530413625316","0.036496350364963515","0.05109489051094893","0.07542579075425793","0.07299270072992703","0.08029197080291971","0.03892944038929441","0.036496350364963515","0.0437956204379562"
"137","0.041062801932367166","0.03623188405797102","0.05072463768115945","0.07487922705314011","0.07246376811594205","0.07971014492753623","0.03864734299516909","0.03623188405797102","0.04347826086956521"
